epoch,train_loss,val_mean_f1,Intent_f1,AnswerType_f1,CognitiveLevel_f1,QuestionParticleType_f1,QuestionType_f1,Subjectivity_f1,TemporalContext_f1,PurposeContext_f1,List_f1
1,5.052637075620984,0.47915561709361604,0.13788614877932354,0.2130866477505119,0.339616535084526,0.6461944315988909,0.7816253390158854,0.8167711598746081,0.41109098966316343,0.49183759168738705,0.47429171038824763
2,1.4257754236459732,0.7728927994626426,0.8587472218352038,0.6798217658375164,0.7867764896397454,0.735597233402825,0.8934609250398724,0.9256235154394299,0.48603048603048593,0.6882128520563511,0.9017647058823529
3,0.48160754664549754,0.8541311365988297,0.88158606838962,0.7597238858976874,0.7999458811137252,1.0,0.8846023566392824,0.9528402302595851,0.6723715644240401,0.8112130351959361,0.9248972074695906
4,0.17733257994174012,0.881923658612696,0.958651351535875,0.8192345743508445,0.8165827939120218,1.0,0.9010737306765776,0.9549163117163597,0.6973954599761052,0.8479712073372425,0.9414874980092371
5,-0.03985963627282116,0.8816206365629324,0.9582493888429866,0.8174238463198669,0.789759930756626,1.0,0.8990096406660824,0.9558201058201059,0.6950596925722679,0.8738382874871484,0.9454248366013072
6,-0.20090686754574852,0.8933535783946112,0.9694148473295051,0.8600664317624264,0.8238997698471505,1.0,0.9117547433123925,0.9604790419161677,0.6880593334809869,0.8792582063664833,0.9472498315363882
7,-0.3455877560708258,0.8968553327511857,0.9724369032262682,0.8644301513304335,0.8117204652037057,1.0,0.9063410497134285,0.9631834215167548,0.7115041538090461,0.9015978170010032,0.9404840329600311
8,-0.47044473531700315,0.901704225043981,0.971200459918513,0.8636810556209529,0.8435303414375958,1.0,0.9157504828996705,0.9666989165515765,0.7100671517361343,0.8931044993549969,0.9513051178763892
9,-0.5881124879159625,0.900257907521214,0.9575825679108853,0.8716390984365433,0.8256323042037329,1.0,0.9122934593786611,0.9666989165515765,0.7093050540468302,0.9087186732186733,0.9504510939440226
10,-0.681192743636313,0.9028054375982845,0.9647504921283919,0.8664073908216761,0.8444079609393921,1.0,0.9120265104614567,0.962811757719715,0.7200590440230222,0.9043346883468835,0.9504510939440226
11,-0.7598342871855176,0.8964084651651818,0.9707359331991651,0.8706540575916937,0.8227016622848934,1.0,0.9196371283952378,0.9592986757852601,0.6836269241552881,0.9065120011535305,0.9345098039215687
12,-0.8355541404277559,0.9086398300752827,0.9635195705076288,0.8751520024690757,0.8301272744870306,1.0,0.9165379714634333,0.9670291100272747,0.7855324252702355,0.9065120011535305,0.9333481152993348
13,-0.8959415919250913,0.9020367586173366,0.96888935181614,0.8711014467842584,0.8238768989400375,0.9980683596925832,0.9210494324654099,0.9631834215167548,0.7159508900883628,0.8998711569714375,0.9563398692810458
14,-0.9461156267022329,0.8979867957044507,0.972149396271176,0.8714222015315372,0.8282245013151414,1.0,0.9119476958768322,0.9670291100272747,0.6874689957146652,0.9041990346718456,0.9394402259315832
15,-0.9982249935468038,0.9015050548534078,0.9736321707263355,0.8709644682052055,0.8452890801830506,1.0,0.9149238524238523,0.9666989165515765,0.6872512232997433,0.9043346883468835,0.9504510939440226
16,-1.0328356003950512,0.8977238549824038,0.9666951574137572,0.876281774228601,0.830361584112762,1.0,0.9067783094098884,0.9631834215167548,0.6882149489971023,0.9065120011535305,0.9414874980092371
17,-1.063179865242943,0.9003108897701124,0.9713697888748191,0.8729158801717538,0.837503572005417,1.0,0.9151725244171953,0.9670291100272747,0.6868702946797153,0.9065120011535305,0.9454248366013072
