epoch,train_loss,val_mean_f1,Intent_f1,AnswerType_f1,CognitiveLevel_f1,QuestionParticleType_f1,QuestionType_f1,Subjectivity_f1,TemporalContext_f1,PurposeContext_f1,List_f1
1,3.1940028549186765,0.5929255468864107,0.45178343809242855,0.43952295570083355,0.566805412349219,0.6471978425704586,0.795919123092875,0.8167711598746081,0.41904195283286755,0.6517139466672637,0.5475740907971431
2,0.5121252845440593,0.8242634100832007,0.8730350993974413,0.6991759544845092,0.7954781023357507,1.0,0.8990096406660824,0.9263668430335097,0.5501633918852706,0.7729359201213346,0.9022057388249073
3,0.025679779283347585,0.8700656505850766,0.9633656405706096,0.7997838347415965,0.8039535759496329,1.0,0.9023391812865498,0.9461077844311376,0.6704174735222899,0.8428586588815205,0.9017647058823529
4,-0.238621863492188,0.8875887481472199,0.9632754678803428,0.8706335158723527,0.8167163615421588,1.0,0.9038709533477611,0.955374109263658,0.6921031547876649,0.8752616296713991,0.9110635409596408
5,-0.45086812417185496,0.8868075763993933,0.9506742456603073,0.8232006893955017,0.7986450902470449,1.0,0.9034005258545136,0.9494581195595779,0.7620917713880843,0.8689005380199202,0.9248972074695906
6,-0.6337868909514139,0.8851213585657832,0.9692394176483546,0.8441601939354054,0.7984589003502564,0.9980559745265628,0.9023989126741421,0.9541664027698609,0.6873778471236593,0.8813857167801642,0.9308488612836439
7,-0.7915587292777168,0.8985879348705113,0.9753462331664994,0.8769254162474709,0.8211345191507465,1.0,0.9032605097649785,0.9635456080097793,0.7071719272940558,0.8994231672410401,0.9404840329600311
8,-0.9350722753812396,0.8978382934778115,0.9769937966573333,0.860389270206598,0.8279325950939821,1.0,0.9109097789957004,0.9666989165515765,0.7074329501915708,0.8857305708540957,0.9444567627494457
9,-1.0681025206096588,0.8907233443537278,0.9607804888703139,0.8634308617395205,0.8317507748951374,1.0,0.9120265104614567,0.955374109263658,0.6802613958779556,0.8920578923359384,0.9208280657395702
10,-1.1813182461829412,0.8935909141521317,0.9597455402978061,0.870056994802754,0.8133535684896955,1.0,0.9114780835881753,0.9666989165515765,0.6923993171871515,0.8929596286209489,0.9356261778310776
11,-1.2785426018730042,0.8928775512066108,0.9645758609628787,0.8361621874789621,0.8225560207780934,1.0,0.9238792363792364,0.9631834215167548,0.6855803675656106,0.9043346883468835,0.9356261778310776
12,-1.3750669549381922,0.8917545391398701,0.9536058820991399,0.8718477679120347,0.8305140959688554,1.0,0.9279266319007373,0.9670291100272747,0.6695632813926046,0.8830646151089611,0.922239467849224
