epoch,train_loss,val_mean_f1,Intent_f1,AnswerType_f1,CognitiveLevel_f1,QuestionParticleType_f1,QuestionType_f1,Subjectivity_f1,TemporalContext_f1,PurposeContext_f1,List_f1
1,6.250846949834672,0.4714820812452303,0.120990845853159,0.20283173310583066,0.3280762506244202,0.6461944315988909,0.7973587388221535,0.8571356682769726,0.3932610289470358,0.4231983235903622,0.47429171038824763
2,2.026069357754692,0.7657144621660188,0.859404407700257,0.6690068362278981,0.7824493215298461,0.6590308505408062,0.9005360333531864,0.9323744675745396,0.4943515164623963,0.6925120202228867,0.9017647058823529
3,0.7925839991796584,0.836405935988067,0.8803260966453604,0.6903113833307273,0.8041261126742073,1.0,0.8880661325843414,0.9597022455888913,0.6674076242477467,0.6972297958612975,0.9404840329600311
4,0.41993427897493046,0.8772767389498456,0.8905967288116169,0.8151784228160537,0.8287092949600913,1.0,0.9101054262344586,0.9549163117163597,0.6947485536270582,0.855811075781664,0.9454248366013072
5,0.15936666011573777,0.8852873620087156,0.959803679048097,0.8288136319843638,0.8082172597499856,1.0,0.8972182088809544,0.9631834215167548,0.6909057681853407,0.8689931947689213,0.9504510939440226
6,-0.031157941158328737,0.8962247244188473,0.9702809307929391,0.8646529470421583,0.8266917717966539,1.0,0.9138832597524789,0.9670291100272747,0.6880358573579992,0.889093494807556,0.9463551481925647
7,-0.19471074501791644,0.899625773380679,0.977023502689096,0.8702136195747563,0.8278397841413029,1.0,0.9045177333284931,0.9592986757852601,0.7075814804126211,0.9038020163020163,0.9463551481925647
8,-0.34383513932190246,0.9036575352029165,0.9719675672714507,0.8674480488616301,0.8383224881649748,1.0,0.9181580571387084,0.9666989165515765,0.7134650065014553,0.9064066383924301,0.9504510939440226
9,-0.47690718881194555,0.9020138825021545,0.9575825679108853,0.8766992853211694,0.8389720107305026,1.0,0.9122934593786611,0.962811757719715,0.7054817780402278,0.9087186732186733,0.9555654101995565
10,-0.5886910129634161,0.903670887100572,0.9656033607320275,0.8651440699177905,0.8486440677034737,1.0,0.9122934593786611,0.9666989165515765,0.717691014524064,0.9065120011535305,0.9504510939440226
11,-0.6795560821654305,0.8987193328231611,0.9699980758039751,0.8766556174865485,0.8420234183542538,1.0,0.9151725244171953,0.9592986757852601,0.6866168449678032,0.9041990346718456,0.9345098039215687
12,-0.7591117729270269,0.9085968696647679,0.9658422667909,0.8760230033400765,0.8390322106843423,1.0,0.9122934593786611,0.9631834215167548,0.7873402579036717,0.9065120011535305,0.9271452062149736
13,-0.8269767860571543,0.901341270731917,0.9712960122952322,0.8730585212846854,0.8288085490864877,1.0,0.9125556624672738,0.9631834215167548,0.7128470190213582,0.8998711569714375,0.9504510939440226
14,-0.880693895476205,0.8970903576729393,0.9509400633944234,0.8725026035189825,0.8308440031752503,1.0,0.9205378542224729,0.9670291100272747,0.6883203241146214,0.9041990346718456,0.9394402259315832
15,-0.9407782980373928,0.9023043048116689,0.9728642276582765,0.8845953256944893,0.8384068010887935,1.0,0.9198684912031279,0.962811757719715,0.6900039954852702,0.9017370505113246,0.9504510939440226
16,-0.9765208637903607,0.8982272713681796,0.9666951574137572,0.8780813658635555,0.8323466501398062,1.0,0.9088690822134773,0.9631834215167548,0.6878737310527048,0.9065120011535305,0.9404840329600311
17,-1.0097113540248266,0.9008310621942415,0.9717187181057358,0.8840660724240778,0.8425355099625174,1.0,0.9128131902456438,0.9670291100272747,0.6833647318978097,0.9065120011535305,0.9394402259315832
